rowid,symbol,tf,open_time_ms,o,h,l,c,v,convention
435009,MNQ,1m,1788338460000,29050.0,29055.5,29045.25,29046.75,548.0,epoch_floor
435010,MNQ,1m,1788338520000,29046.25,29046.75,29038.0,29041.75,476.0,epoch_floor
435011,MNQ,1m,1788338580000,29042.0,29044.0,29032.75,29035.75,929.0,epoch_floor
435012,MNQ,1m,1788338640000,29036.75,29038.0,29032.0,29035.5,471.0,epoch_floor
435013,MNQ,1m,1788338700000,29036.25,29037.25,29031.5,29033.0,331.0,epoch_floor
435014,MNQ,1m,1788338760000,29033.0,29034.25,29030.5,29031.0,244.0,epoch_floor
435015,MNQ,1m,1788338820000,29030.75,29031.5,29024.0,29024.75,673.0,epoch_floor
435016,MNQ,1m,1788338880000,29025.0,29025.75,29021.25,29021.5,601.0,epoch_floor
435017,MNQ,1m,1788338940000,29022.25,29025.5,29020.75,29022.5,450.0,epoch_floor
435018,MNQ,1m,1788339000000,29023.0,29025.25,29017.25,29021.25,847.0,epoch_floor
435019,MNQ,1m,1788339060000,29020.0,29020.75,28997.25,29002.0,3232.0,epoch_floor
435020,MNQ,1m,1788339120000,29002.5,29003.0,28987.0,28988.5,1808.0,epoch_floor
435021,MNQ,1m,1788339180000,28988.5,28989.75,28966.5,28967.25,2072.0,epoch_floor
435022,MNQ,1m,1788339240000,28967.25,28968.75,28955.75,28964.0,1980.0,epoch_floor
435023,MNQ,1m,1788339300000,28963.75,28970.75,28954.75,28966.5,1778.0,epoch_floor
435024,MNQ,1m,1788339360000,28967.5,28984.25,28965.5,28972.0,1803.0,epoch_floor
435025,MNQ,1m,1788339420000,28971.75,28975.5,28965.25,28972.0,1140.0,epoch_floor
435026,MNQ,1m,1788339480000,28974.25,28974.75,28967.25,28973.25,650.0,epoch_floor
435027,MNQ,1m,1788339540000,28974.0,28978.75,28968.0,28978.0,813.0,epoch_floor
435028,MNQ,1m,1788339600000,28977.25,28993.0,28974.0,28984.75,2056.0,epoch_floor
435029,MNQ,1m,1788339660000,28985.0,28989.75,28978.75,28981.75,851.0,epoch_floor
435030,MNQ,1m,1788339720000,28982.0,29008.0,28981.75,29002.0,1713.0,epoch_floor
435031,MNQ,1m,1788339780000,29001.75,29016.75,28996.25,29010.25,1622.0,epoch_floor
435032,MNQ,1m,1788339840000,29009.5,29011.25,29002.0,29009.75,1037.0,epoch_floor
435033,MNQ,1m,1788339900000,29009.5,29025.0,29008.25,29024.75,1262.0,epoch_floor
435034,MNQ,1m,1788339960000,29024.5,29027.0,29009.5,29010.75,1166.0,epoch_floor
435035,MNQ,1m,1788340020000,29011.25,29012.0,28997.5,29001.0,1285.0,epoch_floor
435036,MNQ,1m,1788340080000,29001.5,29008.5,28997.25,29002.25,801.0,epoch_floor
435037,MNQ,1m,1788340140000,29002.0,29006.75,28999.5,29000.75,613.0,epoch_floor
435038,MNQ,1m,1788340200000,29000.75,29005.75,28997.0,29001.75,870.0,epoch_floor
435039,MNQ,1m,1788340260000,29001.0,29008.0,28994.75,28999.5,794.0,epoch_floor
435040,MNQ,1m,1788340320000,28999.5,29002.5,28992.25,28994.0,682.0,epoch_floor
435041,MNQ,1m,1788340380000,28994.0,28995.75,28986.0,28987.0,908.0,epoch_floor
435042,MNQ,1m,1788340440000,28986.5,28986.5,28968.5,28970.75,1337.0,epoch_floor
435043,MNQ,1m,1788340500000,28971.25,28978.5,28968.75,28976.75,1000.0,epoch_floor
435044,MNQ,1m,1788340560000,28976.75,28978.75,28973.5,28976.5,660.0,epoch_floor
435045,MNQ,1m,1788340620000,28976.75,28982.5,28970.5,28981.0,854.0,epoch_floor
